"mine_basin","HYBAS_ID","distance","downstream"
1121221690,1121219460,14518.3411905455,1
1121221690,1121219470,17522.2392768031,1
1121221690,1122110860,24901.8014528876,1
1121221690,1121218980,28141.6600065533,1
1121221690,1121218850,34648.3141055061,1
1121221690,1121220000,36849.6231805802,1
1121221690,1121222912,42239.2934083135,1
1121221690,1121222911,48938.1099979446,1
1121221690,1121223242,54080.312923108,1
1122127100,1122127040,11535.2119648636,1
1122127100,1121260120,25938.025058664,1
1122127100,1121261910,41708.9816114663,1
1122127100,1121260940,53947.9876220358,1
1122127100,1121260130,66878.8298873633,1
1122127100,1120009040,76629.6926592026,1
1121257770,1121257250,13327.7972407335,1
1121257770,1122126050,24884.361203298,1
1121257770,1122126180,32721.0698661896,1
1121257770,1121258170,43104.9857379011,1
1121257770,1121259980,52108.9771907588,1
1121257770,1121261910,64948.680937213,1
1121257770,1121260940,78014.212118646,1
1121257770,1121260130,88874.5080244911,1
1121257770,1120009040,98002.4304308866,1
1121264970,1121267730,18359.7135634423,1
1121264970,1121267900,29736.3732850178,1
1121264970,1122130770,32316.6259825283,1
1121264970,1121269880,39703.5710658432,1
1121264970,1121270250,51818.5131535312,1
1121264970,1121270320,52937.3241466513,1
1121264970,1121270890,58106.8178109645,1
1121264970,1121270530,64281.7536449426,1
1121264970,1121270330,72700.4196439356,1
1121264970,1121270610,82151.6711086036,1
1122136860,1122136400,11981.3792449691,1
1122136860,1121283610,22146.6581734347,1
1122136860,1121283270,32416.14439363,1
1122136860,1121282260,33083.6557950395,1
1122136860,1121281980,37405.6257936597,1
1122136860,1122136150,48775.4853280016,1
1122136860,1121279850,52281.2201940512,1
1122136860,1121279330,56072.1669069793,1
1122136860,1121278850,60737.2951143843,1
1122136860,1121277870,61726.2279147588,1
1121275580,1122133960,14867.5668654991,1
1121275580,1121277160,20727.8992603163,1
1121275580,1121277420,30818.8718025796,1
1121275580,1122134880,36914.7488624154,1
1121275580,1121278740,45091.8836470645,1
1121275580,1121279470,52897.7774287244,1
1121275580,1122135880,64369.9066203691,1
1121275580,1121281880,79793.2194468235,1
1121275580,1122136150,98530.1306265133,1
1121275580,1121279850,95568.7254416636,1
1121273480,1121272380,13484.7109716626,1
1121273480,1121272390,21505.991361447,1
1121273480,1121273710,25461.5055728427,1
1121273480,1121274260,33333.2081873383,1
1121273480,1121274650,37355.9833144377,1
1121273480,1121275050,43016.9688945906,1
1121273480,1121275580,47008.2673258985,1
1121273480,1122133960,58851.438689234,1
1121273480,1121277160,64983.3636898658,1
1121273480,1121277420,72618.6749347408,1
1121274870,1120009170,11754.576192889,1
1122132880,1121274870,12956.6172649993,1
1122132880,1120009170,20996.5872054739,1
1122135400,1122135000,10705.1333558033,1
1122135400,1121279070,19384.1465377506,1
1122135400,1122135800,29861.6171819766,1
1122135400,1121282030,40152.88500004,1
1122135400,1121283090,48195.0244251314,1
1122135400,1122137020,52835.3984034715,1
1122135400,1121284430,67750.2604979008,1
1122135400,1121284380,80658.2883967847,1
1122135400,1121283620,90128.9668188392,1
1122135400,1121282690,80702.5058630912,1
1122163210,1122162900,9715.20098104525,1
1122163210,1121342210,21425.6747168252,1
1122163210,1121340080,36407.9570801785,1
1122163210,1121339200,49362.6051933293,1
1122163210,1121337590,56834.943437605,1
1122163210,1121336020,74191.8845289506,1
1122163210,1121334970,81387.5599922965,1
1122163210,1121334030,86422.3707671103,1
1122163210,1121332960,91373.3897345996,1
1122163210,1121332860,96409.9286552353,1
1122162160,1122161690,9917.06277469766,1
1122162160,1122161250,19954.2502470017,1
1122162160,1121338510,29068.2878985242,1
1122162160,1121338410,42359.3448885361,1
1122162160,1121338070,43721.0323310075,1
1122162160,1121336700,48422.5737576149,1
1122162160,1121334800,56744.4162350494,1
1122162160,1121334120,68607.6382373018,1
1122162160,1121333080,72312.0623525964,1
1122162160,1121332380,74914.6440426448,1
1122126570,1121260470,8522.90444462836,1
1122126570,1121261060,21560.124657827,1
1122126570,1121261360,21993.8836454784,1
1122126570,1121261840,23107.2594752955,1
1122126570,1122127940,18933.7830822397,1
1122126570,1122128150,17142.9371796246,1
1122126570,1122128240,15008.3106271499,1
1122126570,1122128510,22981.1059370278,1
1122126570,1122129080,33955.0937484159,1
1122126570,1122129570,42267.0239894273,1
1121310570,1121310210,16976.1418768898,1
1121310570,1121310370,22793.5672288978,1
1121310570,1121309830,25634.1380483321,1
1121310570,1121308990,31111.8466921934,1
1121310570,1121308360,39704.0010158106,1
1121310570,1121308280,45924.0900931819,1
1121310570,1121308570,52523.082015313,1
1121310570,1121308580,59455.098955836,1
1121310570,1121308490,61337.68553627,1
1121310570,1121307870,66725.4498852319,1
1121331990,1121330990,10727.1180993043,1
1121331990,1121330220,17318.9127397132,1
1121331990,1121329980,26131.6814512431,1
1121331990,1121329410,29293.2778766994,1
1121331990,1122156220,30122.528320358,1
1121331990,1122156230,36692.0247227036,1
1121331990,1121327070,41269.1021333876,1
1121331990,1121326830,51970.189780824,1
1121331990,1121327180,58070.559444747,1
1121331990,1121327970,66612.3698324356,1
1122157100,1122157040,8451.35423657788,1
1122157100,1122156470,18324.85357636,1
1122157100,1120009830,26605.4659532066,1
1121335732,1121335731,7892.4417067677,1
1121335732,1121335492,10189.2344459171,1
1121335732,1121335491,12314.5103999162,1
1121335732,1120009881,13048.9589830861,1
1122164630,1121348950,11398.4240857266,1
1122164630,1122165850,20351.3183894532,1
1122164630,1122166440,31306.4830226377,1
1122164630,1121353770,42060.4566999175,1
1122164630,1121353930,52529.0663358573,1
1122164630,1121353940,53496.4958672371,1
1122164630,1121353390,56588.6825561909,1
1122164630,1121353440,56922.8072622093,1
1122164630,1121353950,61060.4167847076,1
1122164630,1121353960,70634.1493586565,1
1121361860,1121361870,15692.4687890734,1
1121361860,1121360960,15376.4280968572,1
1121361860,1121360450,26912.9325069674,1
1121361860,1121360360,35375.9461036924,1
1121361860,1121360370,47457.8625549573,1
1121361860,1121360010,49317.4334945622,1
1121361860,1121359920,52539.0821747215,1
1121361860,1122169500,58018.1032991539,1
1121361860,1121358290,61872.2959296676,1
1121361860,1121357800,67395.270095807,1
1121346930,1121347820,17140.040127816,1
1121346930,1122165130,22082.2392958779,1
1121346930,1122165620,30008.1197153556,1
1121346930,1122166030,40228.9628824335,1
1121346930,1122166970,53742.3269536025,1
1121346930,1121354900,58161.7746146554,1
1121346930,1121355240,68176.0003900004,1
1121346930,1121358000,74308.2664633818,1
1121346930,1121358790,80803.6282573926,1
1121346930,1121358800,80302.1440669254,1
1121345500,1121346930,18032.4806779838,1
1121345500,1121347820,34602.9915427659,1
1121345500,1122165130,39963.506085634,1
1121345500,1122165620,48039.4758798912,1
1121345500,1122166030,58245.9496289148,1
1121345500,1122166970,71645.1360469756,1
1121345500,1121354900,75530.7949998769,1
1121345500,1121355240,85020.1058970986,1
1121345500,1121358000,90799.1889488001,1
1121345500,1121358790,96356.6454882124,1
1121345580,1121346930,16993.5708912832,1
1121345580,1121347820,34130.3510395471,1
1121345580,1122165130,38955.5911383896,1
1121345580,1122165620,46451.9675417335,1
1121345580,1122166030,56351.352756554,1
1121345580,1122166970,69312.714544348,1
1121345580,1121354900,72473.8379220218,1
1121345580,1121355240,81509.677345626,1
1121345580,1121358000,87047.3720106439,1
1121345580,1121358790,92126.1703499489,1
1122166090,1122166420,10242.2221505221,1
1122166090,1122166350,16390.7435785005,1
1122166090,1121352400,24756.5471032231,1
1122166090,1122167050,33512.7393099465,1
1122166090,1121354610,41572.3651169474,1
1122166090,1121355710,45938.6860096707,1
1122166090,1121356690,52667.9594663607,1
1122166090,1121358700,61156.9682716079,1
1122166090,1121360840,73280.516988732,1
1122166090,1121360450,85368.3861609665,1
1121389960,1121388280,19411.174232887,1
1121389960,1121387170,29885.1049250409,1
1121389960,1121386410,38143.51496203,1
1121389960,1121385960,45156.9550098921,1
1121389960,1122180070,56871.7941136382,1
1121389960,1121384500,63993.5893085943,1
1121389960,1122179260,71491.6883253518,1
1121389960,1121383160,79891.8787175745,1
1121389960,1121381510,91329.3071496682,1
1121389960,1121380660,98299.8754373572,1
1121391640,1121389960,16620.7994053694,1
1121391640,1121388280,35981.878913786,1
1121391640,1121387170,46499.2516275308,1
1121391640,1121386410,54762.9445941386,1
1121391640,1121385960,61763.1585070961,1
1121391640,1122180070,73475.0041313564,1
1121391640,1121384500,80603.8870772399,1
1121391640,1122179260,88040.5330940022,1
1121391640,1121383160,96512.6613607897,1
1121391640,1121381510,107944.117424534,1
1121385470,1121385210,18086.2993201214,1
1121385470,1120010482,27921.9982314193,1
