reg_code,ea,dist_name,reg_name
6,629,Asante-Akyem North,Ashanti
6,745,Asante-Akyem North,Ashanti
6,612,Asante-Akyem North,Ashanti
6,465,Bosumtwe/Atwima/Kwanwoma,Ashanti
6,609,Bosumtwe/Atwima/Kwanwoma,Ashanti
6,469,Kumasi Metro,Ashanti
6,472,Kumasi Metro,Ashanti
6,475,Kumasi Metro,Ashanti
6,702,Kumasi Metro,Ashanti
6,705,Kumasi Metro,Ashanti
6,709,Kumasi Metro,Ashanti
6,712,Kumasi Metro,Ashanti
6,715,Kumasi Metro,Ashanti
6,719,Kumasi Metro,Ashanti
6,722,Kumasi Metro,Ashanti
6,725,Kumasi Metro,Ashanti
6,729,Kumasi Metro,Ashanti
6,732,Kumasi Metro,Ashanti
6,735,Kumasi Metro,Ashanti
6,519,Kwabre,Ashanti
6,515,Afigya Sekyere,Ashanti
6,632,Kwabre,Ashanti
6,635,Sekyere East,Ashanti
6,752,Sekyere East,Ashanti
6,509,Sekyere East,Ashanti
6,512,Sekyere East,Ashanti
6,639,Sekyere West,Ashanti
6,750,Sekyere West,Ashanti
6,522,Offinso,Ashanti
6,642,Offinso,Ashanti
6,529,Tano North,Brong Ahafo
6,645,Ahafo Ano South,Ashanti
6,525,Ahafo Ano North,Ashanti
6,759,Ahafo Ano North,Ashanti
7,532,Asunafo North,Brong Ahafo
7,535,Asunafo North,Brong Ahafo
7,539,Asutifi,Brong Ahafo
7,649,Asutifi,Brong Ahafo
7,542,Tano South,Brong Ahafo
7,762,Tano South,Brong Ahafo
7,545,Sunyani Municipal,Brong Ahafo
7,652,Sunyani Municipal,Brong Ahafo
7,765,Sunyani Municipal,Brong Ahafo
7,769,Sunyani Municipal,Brong Ahafo
7,772,Sunyani Municipal,Brong Ahafo
7,549,Dormaa,Brong Ahafo
7,655,Dormaa,Brong Ahafo
7,775,Dormaa,Brong Ahafo
7,939,Jaman North,Brong Ahafo
7,822,Tain,Brong Ahafo
7,942,Tain,Brong Ahafo
7,972,Tain,Brong Ahafo
7,552,Techiman Municipal,Brong Ahafo
7,779,Techiman Municipal,Brong Ahafo
7,825,Nkoranza,Brong Ahafo
7,944,Nkoranza,Brong Ahafo
7,829,Kintampo South,Brong Ahafo
7,832,Pru,Brong Ahafo
7,835,Pru,Brong Ahafo
7,975,Atebubu-Amantin,Brong Ahafo
8,839,Wa Municipal,Upper West
8,842,West Gonja,Northern
8,949,Centralt Gonja,Northern
8,845,East Gonga,Northern
8,849,East Gonga,Northern
8,979,East Gonga,Northern
8,852,Nanumba North,Northern
8,855,Saboba/Chereponi,Northern
8,952,Saboba/Chereponi,Northern
8,859,East Mamprusi,Northern
8,982,Karaga,Northern
8,862,Tamale Metropolitan,Northern
8,985,Tamale Metropolitan,Northern
8,989,Tamale Metropolitan,Northern
8,865,West Mamprusi,Northern
8,869,Bunkpurugu Yunyoo,Northern
8,955,Bunkpurugu Yunyoo,Northern
8,992,East Mamprusi,Northern
9,872,Wa West,Upper West
9,875,Nadowli,Upper West
9,959,Jirapa Lambussie,Upper West
9,995,Jirapa Lambussie,Upper West
9,879,Jirapa Lambussie,Upper West
9,882,Lawra,Upper West
10,885,Builsa,Upper East
10,889,Kasisina Nankana,Upper East
10,892,Kasisina Nankana,Upper East
10,895,Kasisina Nankana,Upper East
10,909,Bongo,Upper East
10,899,Talensi-Nabdam,Upper East
10,902,Talensi-Nabdam,Upper East
10,905,Bongo,Upper East
10,912,Bawku West,Upper East
10,915,Garu Tempane,Upper East
10,919,Bawku Municipal,Upper East
10,922,Bawku Municipal,Upper East
10,999,Bawku Municipal,Upper East
