cluster,region,district,distype,subdist,ea,locality,eacode,v9,dist_new,latitude,longitude
232,2,16,2,0,57,6,216200057,Upper Denkyira East,216,5.9566898,-1.77519
200,2,11,2,0,148,7,211200148,Agona West,211,5.6154699,-.79033297
340,3,5,2,0,155,10,305200155,Adenta,305,5.69344,-.141242
312,3,4,3,6,140,2,304306140,AMA  - Ayawaso East,304,5.5879798,-.18964
91,1,12,1,0,243,1,112100243,Aowin Suaman,112,6.2280002,-3.07054
1072,9,8,1,0,5,1,908100005,Garu Tempane,908,10.7672,-.114676
112,1,16,1,0,79,1,116100079,Juabeso,116,6.30092,-2.9609699
907,8,5,1,0,132,1,805100132,East Gonja,805,8.5687103,-.77326202
967,8,13,1,0,90,7,813100090,Savelugu Nanton,813,9.6286602,-.82077998
208,2,12,1,0,177,17,212100177,Asikuma / Odoben  / Brakwa,212,5.7348299,-1.011
282,3,4,3,1,153,3,304301153,AMA  -  Ablekuma South,304,5.5513701,-.22175001
1067,9,7,1,0,88,15,907100088,Bawku West,907,10.9069,-.409134
1018,9,2,1,0,72,1,902100072,Kasena Nankana West,902,10.9568,-1.05343
417,4,6,1,0,76,1,406100076,North Tongu,406,6.0585299,.471784
244,3,1,2,0,277,12,301200277,Weija (Ga South),301,5.56532,-.41238999
911,8,6,1,0,39,6,806100039,Kpandai,806,8.3602505,-.06191
82,1,11,1,0,174,1,111100174,Wassa Amenfi West,111,5.9253101,-2.3431201
1084,9,9,2,0,7,1,909200007,Bawku Municipal,909,10.5492,-1.34919
78,1,11,1,0,68,9,111100068,Wassa Amenfi West,111,5.7112198,-2.32759
1186,10,9,1,0,13,1,1009100013,Lawra,1009,10.5296,-2.8389201
772,6,27,1,0,24,4,627100024,Offinso North,627,7.2919698,-1.8528301
223,2,15,1,0,23,3,215100023,Twifo / Heman / Lower Denkyira,215,5.2515001,-1.38087
629,6,2,1,0,14,1,602100014,Amansie West,602,6.2100801,-2.0222499
569,5,12,1,0,67,1,512100067,Fanteakwa,512,6.4152198,-.444379
118,1,17,1,0,104,1,117100104,Bia,117,6.7056098,-2.8892601
1162,10,6,1,0,52,1,1006100052,Jirapa,1006,10.5652,-2.53039
459,4,11,2,0,197,39,411200197,Hohoe,411,7.1591702,.47580701
912,8,6,1,0,75,10,806100075,Kpandai,806,8.3738699,.101488
474,4,15,1,0,13,1,415100013,Krachi East,415,7.4937501,.27789101
79,1,11,1,0,86,10,111100086,Wassa Amenfi West,111,5.6192398,-2.5469799
837,7,13,1,0,133,22,713100133,Tain,713,8.2407398,-2.27314
782,7,2,2,0,128,8,702200128,Asunafo North,702,6.8186998,-2.54743
1199,10,9,1,0,167,1,1009100167,Lawra,1009,10.908,-2.79301
737,6,16,1,0,102,1,616100102,Ahafo Ano South,616,6.8966398,-1.9574
511,5,3,2,0,41,7,503200041,West Akim,503,5.8085198,-.454808
106,1,15,1,0,101,18,115100101,Sefwi Bibiani-Ahwiaso Bekwai,115,6.3053699,-2.2491901
750,6,20,1,0,40,8,620100040,Kwabre  East,620,6.7945399,-1.50544
432,4,8,2,0,187,19,408200187,Ho,408,6.5979199,.45179999
572,5,12,1,0,174,1,512100174,Fanteakwa,512,6.50281,.149462
