eanum,reg_code,reg_name,ur,ez,locality_name,dist_name
451,7,Brong Ahafo,1,3,KWAME DANSO,Sene
452,7,Brong Ahafo,2,3,GYAMBEAM (KICHIASE),Sene
453,7,Brong Ahafo,2,3,KONKONSI,Sene
454,8,Northern,1,3,BOLE,Bole
455,8,Northern,2,3,TANG-BANG,Bole
456,8,Northern,2,3,NAKPALA,Bole
457,8,Northern,2,3,JINDABUO,Bole
458,8,Northern,2,3,KPANTO,Sawla-Tuna-Kalba
459,8,Northern,2,3,ZAMZUGU,Sawla-Tuna-Kalba
460,8,Northern,2,3,BUIPE-YIPALA,Sawla-Tuna-Kalba
461,8,Northern,1,3,SALAGA,East Gonga
462,8,Northern,2,3,KADIA,East Gonga
463,8,Northern,2,3,BAU (KAFABA) QUARTERS,East Gonga
464,8,Northern,2,3,NIKPANE,East Gonga
465,8,Northern,2,3,KITARE,East Gonga
466,8,Northern,2,3,KAFABA NO.2,East Gonga
467,8,Northern,1,3,BIMBILLA,Nanumba North
468,8,Northern,2,3,KUMBUI,Nanumba North
469,8,Northern,2,3,KANJO KURA,Nanumba North
470,8,Northern,2,3,GBAMBAYA (GBEMBIYA),Nanumba North
471,8,Northern,2,3,GUNGUPAYA,Nanumba North
472,8,Northern,2,3,GMAGARDON (DAWANDO),
473,8,Northern,2,3,KPALBA BATOR VILLAGE,Saboba/Chereponi
474,8,Northern,2,3,JEJEKRITIA-KITIABU,Saboba/Chereponi
475,8,Northern,2,3,SABOBA,Saboba/Chereponi
476,8,Northern,1,3,YENDI,Yendi
477,8,Northern,1,3,YENDI,Yendi
478,8,Northern,2,3,CHOO,Yendi
479,8,Northern,2,3,FINIMGADO,Yendi
480,8,Northern,2,3,ADIBO,Yendi
481,8,Northern,2,3,TUZIE,Karaga
482,8,Northern,2,3,BONTIEGO,Karaga
483,8,Northern,2,3,SUNG,Karaga
484,8,Northern,1,3,SAVELUGU,Savelugu Nanton
485,8,Northern,2,3,YIZEGU,Savelugu Nanton
486,8,Northern,1,3,DIARE,Savelugu Nanton
487,8,Northern,2,3,ZION,Savelugu Nanton
488,8,Northern,2,3,LAHAGU,Tamale Metropolitan
489,8,Northern,2,3,GURUGU,Tamale Metropolitan
490,8,Northern,1,3,BUPIELA/NYANI-FONG/S-GIDA,Tamale Metropolitan
491,8,Northern,1,3,DABOKPA/TUTINGLI/DOL./CHE,Tamale Metropolitan
492,8,Northern,1,3,KALPOHINI/SAKASAKA/GUMANI,Tamale Metropolitan
493,8,Northern,1,3,GUMBIHINI/CHOGGO-M/RIDGE,Tamale Metropolitan
494,8,Northern,1,3,NYOHINI/SANERIGU,Tamale Metropolitan
495,8,Northern,2,3,KPANINYILI,Tolon Kumbugu
496,8,Northern,2,3,YIZEWALA,Tolon Kumbugu
497,8,Northern,2,3,GUNDAA,Tolon Kumbugu
498,8,Northern,2,3,KUNKWA-JINDEM,West Mamprusi
499,8,Northern,1,3,JANGA,West Mamprusi
500,8,Northern,2,3,TINGURI,West Mamprusi
501,8,Northern,2,3,BULIBIA,West Mamprusi
502,8,Northern,2,3,KUKIGBINI,East Mamprusi
503,8,Northern,2,3,KINKANGU,East Mamprusi
504,8,Northern,1,3,GAMBAGA,East Mamprusi
505,8,Northern,2,3,NAKPANDURI,East Mamprusi
506,8,Northern,2,3,DINDANE,East Mamprusi
507,9,Upper East,2,3,YIWASI-ZUASA,Builsa
508,9,Upper East,2,3,BANYANGSA-LANBORINGSA,Builsa
509,9,Upper East,2,3,SANDEMA-BALANSA-AKURI YER,Builsa
510,9,Upper East,2,3,CHUCHULIGA-AKPITEYERI-GUU,Builsa
511,9,Upper East,2,3,FUMBISI,Builsa
512,9,Upper East,2,3,TUO-TAN GABISI,Kasisina Nankana
513,9,Upper East,2,3,KETIV-SABORO,Kasisina Nankana
514,9,Upper East,2,3,KAYORO-AKAO,Kasisina Nankana
515,9,Upper East,2,3,MANYORO-NAPOBIA,Kasisina Nankana
516,9,Upper East,1,3,PAGA,Kasisina Nankana
517,9,Upper East,2,3,GONGNIA,Kasisina Nankana
518,9,Upper East,2,3,NYANGUA,Kasisina Nankana
519,9,Upper East,2,3,BEO-SAPOORO,Bongo
520,9,Upper East,2,3,NAMOO,Bongo
521,9,Upper East,1,3,BOLGATANGA,Bolgatanga Municipal
522,9,Upper East,1,3,BOLGATANGA,Bolgatanga Municipal
523,9,Upper East,2,3,GOROGO SEPPAAT,Bolgatanga Municipal
524,9,Upper East,2,3,SAKORET,Bolgatanga Municipal
525,9,Upper East,2,3,GBEEGA NAYIRI,Bolgatanga Municipal
526,9,Upper East,2,3,YOROGO YIPALA-ASONBURIBIS,Bolgatanga Municipal
527,9,Upper East,2,3,NANGODI SOLIGA,Bolgatanga Municipal
528,9,Upper East,2,3,TINDONSOBULUGU,Bolgatanga Municipal
529,9,Upper East,2,3,GAMBIBIGO-AZUABISI,Bolgatanga Municipal
530,9,Upper East,2,3,TAMOCKO,Bawku West
531,9,Upper East,2,3,BUGURI(BUGIT-GURE)TIMODNE,Bawku West
532,9,Upper East,2,3,SAPALUGU TILI,Bawku West
533,9,Upper East,2,3,GALAKA,Bawku West
534,9,Upper East,1,3,BAWKU,Bawku Municipal
535,9,Upper East,2,3,TESUNG,Bawku Municipal
536,9,Upper East,2,3,KUGRI KPALSAKO,Bawku Municipal
537,9,Upper East,2,3,ABUUS TAMBILGU,Bawku Municipal
538,9,Upper East,2,3,GUUM-DABOT,Bawku Municipal
539,9,Upper East,2,3,BULISYA/BIAKA,Bawku Municipal
540,9,Upper East,2,3,APUUBISI,Bawku Municipal
541,9,Upper East,2,3,BIMPIELA NO.1,Bawku Municipal
542,9,Upper East,2,3,ZANZRIBULIGA,Bawku Municipal
543,9,Upper East,1,3,PUSIGA,Bawku Municipal
544,9,Upper East,2,3,WIDANA,Bawku Municipal
545,9,Upper East,2,3,KONGO,Bawku Municipal
546,9,Upper East,2,3,KUGRI NATINGA,Bawku Municipal
547,10,Upper West,1,3,WA,Wa Municipal
548,10,Upper West,1,3,WA,Wa Municipal
549,10,Upper West,2,3,GRUMU-SOLINBO,Wa Municipal
550,10,Upper West,2,3,KPENAYIRI,Wa Municipal
551,10,Upper West,2,3,BUNAA,Wa Municipal
552,10,Upper West,2,3,BURO,Wa Municipal
553,10,Upper West,2,3,DANKO,Wa Municipal
554,10,Upper West,2,3,NASA (NAHA),Wa Municipal
555,10,Upper West,2,3,FUNSI,Wa Municipal
556,10,Upper West,2,3,KPONGU,Wa Municipal
557,10,Upper West,2,3,CHAGGU (CHAKO),Wa Municipal
558,10,Upper West,2,3,ZUPIRI,Nadowli
559,10,Upper West,2,3,KANYIN-DUORI,Nadowli
560,10,Upper West,2,3,DANKYELLE,Nadowli
561,10,Upper West,2,3,DAFFIAMA,Nadowli
562,10,Upper West,2,3,WOGU,Nadowli
563,10,Upper West,2,3,TABEASI,Nadowli
564,10,Upper West,2,3,KANYINI,Nadowli
565,10,Upper West,2,3,BANDEI,Sissala East
566,10,Upper West,2,3,KUSALE,Sissala East
567,10,Upper West,2,3,WALEMBELLE (WALEMBOI),Sissala East
568,10,Upper West,2,3,MWANDUANU,Sissala East
569,10,Upper West,2,3,KPONYAGA,Jirapa Lambussie
570,10,Upper West,2,3,GUO,Jirapa Lambussie
571,10,Upper West,2,3,KENEE,Jirapa Lambussie
572,10,Upper West,2,3,KELEGANG,Jirapa Lambussie
573,10,Upper West,2,3,BILLAW,Jirapa Lambussie
574,10,Upper West,1,3,LAWRA,Lawra
575,10,Upper West,2,3,BERWONG,Lawra
576,10,Upper West,2,3,YAGTUURI NATAL,Lawra
577,10,Upper West,2,3,WOBZU,Lawra
578,10,Upper West,2,3,GUO TANYAGA,Lawra
579,10,Upper West,2,3,PUFFIEN BAAGANGN,Lawra
580,10,Upper West,2,3,BOO,Lawra
