eanum,reg_code,reg_name,ur,ez,locality_name,dist_name
107,3,Greater Accr,1,1,KORLE GONNO,Accra Metro
108,3,Greater Accr,1,1,SABON ZONGO,Accra Metro
109,3,Greater Accr,1,1,ABOSSEY OKAI,Accra Metro
110,3,Greater Accr,1,1,LARTEBIOKORSHIE,Accra Metro
111,3,Greater Accr,1,1,SUKURA,Accra Metro
112,3,Greater Accr,1,1,RUSSIA,Accra Metro
113,3,Greater Accr,1,1,WEST ABOSSEY OKAI,Accra Metro
114,3,Greater Accr,1,1,SAHARA-DANSOMAN,Accra Metro
115,3,Greater Accr,1,1,NORTH ODORKOR,Accra Metro
116,3,Greater Accr,1,1,KWASHIEMAN,Accra Metro
117,3,Greater Accr,1,1,JAMES TOWN,Accra Metro
118,3,Greater Accr,1,1,USSHER TOWN,Accra Metro
119,3,Greater Accr,1,1,ACCRA CENTRAL,Accra Metro
120,3,Greater Accr,1,1,KORLE DUDOR,Accra Metro
121,3,Greater Accr,1,1,TUDU,Accra Metro
122,3,Greater Accr,1,1,ADABRAKA,Accra Metro
123,3,Greater Accr,1,1,ASYLUM,Accra Metro
124,3,Greater Accr,1,1,OSU,Accra Metro
125,3,Greater Accr,1,1,SOUTH LA,Accra Metro
126,3,Greater Accr,1,1,CANTONMENTS,Accra Metro
127,3,Greater Accr,1,1,LA,Accra Metro
128,3,Greater Accr,1,1,LA,Accra Metro
129,3,Greater Accr,1,1,TESHIE,Accra Metro
130,3,Greater Accr,1,1,BURMA CAMP,Accra Metro
131,3,Greater Accr,1,1,SOUTH TESHIE,Accra Metro
132,3,Greater Accr,1,1,NORTH TESHIE,Accra Metro
133,3,Greater Accr,1,1,NUNGUA,Accra Metro
134,3,Greater Accr,1,1,NUNGUA,Accra Metro
135,3,Greater Accr,1,1,HEDZOLEMAN (TESHIE-NUNGUA),Accra Metro
136,3,Greater Accr,1,1,KOKOMLEMLE,Accra Metro
137,3,Greater Accr,1,1,NEW TOWN,Accra Metro
138,3,Greater Accr,1,1,NEW TOWN,Accra Metro
139,3,Greater Accr,1,1,NIMA,Accra Metro
140,3,Greater Accr,1,1,KANDA,Accra Metro
141,3,Greater Accr,1,1,MAMOBI,Accra Metro
142,3,Greater Accr,1,1,KOTOBABI,Accra Metro
143,3,Greater Accr,1,1,KPEHE,Accra Metro
144,3,Greater Accr,1,1,ROMAN RIDGE,Accra Metro
145,3,Greater Accr,1,1,BUBUASHIE,Accra Metro
146,3,Greater Accr,1,1,KANESHIE,Accra Metro
147,3,Greater Accr,1,1,TESANO,Accra Metro
148,3,Greater Accr,1,1,NORTH KANESHIE,Accra Metro
149,3,Greater Accr,1,1,ABEKA,Accra Metro
150,3,Greater Accr,1,1,ACHIMOTA,Accra Metro
151,3,Greater Accr,2,1,HOIN OBELIAKWA,Ga East
152,3,Greater Accr,2,1,BORDUMASE,Ga East
153,3,Greater Accr,2,1,TEIMAN/ABOENA,Ga East
154,3,Greater Accr,1,1,MALLAM,Ga East
155,3,Greater Accr,1,1,ANYAA,Ga East
156,3,Greater Accr,1,1,NII BOYE TOWN,Ga East
157,3,Greater Accr,1,1,NEW ACHIMOTA,Ga East
158,3,Greater Accr,1,1,SANTA MARIA,Ga East
159,3,Greater Accr,1,1,TANTRA HILL,Ga East
160,3,Greater Accr,1,1,OFANKOR,Ga East
161,3,Greater Accr,1,1,POKUASE,Ga East
162,3,Greater Accr,1,1,AGBOGBA,Ga East
163,3,Greater Accr,1,1,MADINA,Ga East
164,3,Greater Accr,1,1,MADINA,Ga East
165,3,Greater Accr,1,1,KISIEMAN (KISSEHMAN),Ga East
166,3,Greater Accr,2,1,WEIJA,Ga East
167,3,Greater Accr,2,1,KOKROBITE,Ga East
168,3,Greater Accr,1,1,ASHAIMAN,Tema Municipal Area
169,3,Greater Accr,1,1,ASHAIMAN,Tema Municipal Area
170,3,Greater Accr,1,1,ASHAIMAN,Tema Municipal Area
171,3,Greater Accr,1,1,ASHAIMAN,Tema Municipal Area
172,3,Greater Accr,1,1,TEMA NEWTOWN,Tema Municipal Area
173,3,Greater Accr,1,1,ADENTA EAST,Tema Municipal Area
174,3,Greater Accr,1,1,LASHIBI,Tema Municipal Area
175,3,Greater Accr,1,1,SAKUMONO,Tema Municipal Area
176,3,Greater Accr,2,1,OYIBI,Tema Municipal Area
177,3,Greater Accr,1,1,TEMA COMMUNITY TWO,Tema Municipal Area
178,3,Greater Accr,1,1,TEMA COMMUNITY ONE,Tema Municipal Area
179,3,Greater Accr,1,1,TEMA COMMUNITY FIVE,Tema Municipal Area
180,3,Greater Accr,1,1,TEMA COMMUNITY EIGHT,Tema Municipal Area
181,3,Greater Accr,2,1,CHINATAN,Dangbe West
182,3,Greater Accr,1,1,PRAMPRAM UPPER TOWN,Dangbe West
183,3,Greater Accr,2,1,ANHWIAM,Dangbe West
184,3,Greater Accr,2,1,AZIZANYA AYIGBO,Dangbe East
185,3,Greater Accr,2,1,DEITSEKOPE,Dangbe East
186,3,Greater Accr,2,1,BEDEKU,Dangbe East
187,4,Volta,2,1,KLONU,
188,4,Volta,2,1,AKORLIKOPE,
189,4,Volta,2,1,MAMIME,Keta
190,4,Volta,1,1,DZELUKOPE,Keta
191,4,Volta,1,1,DZODZE,Ketu
192,4,Volta,2,1,TAMAKLOEKOPE,Ketu
193,4,Volta,2,1,KPOTA,Ketu
194,4,Volta,2,1,WUDOABA,Ketu
195,4,Volta,1,1,AFLAO,Ketu
196,4,Volta,2,1,DENU,Ketu
197,4,Volta,2,1,AVLORTO,Ketu
198,4,Volta,1,1,AKATSI,Akatsi
199,4,Volta,2,1,ALORSEKOPE,Akatsi
200,4,Volta,2,1,WUKPE,Akatsi
201,4,Volta,1,1,JUAPONG,Adidome
202,4,Volta,2,1,BAKPA ALAVANYO,Adidome
203,4,Volta,2,1,MELENU,Adidome
204,4,Volta,2,1,MAFI KUMASE,Adidome
205,4,Volta,1,2,HO,Ho Municipal
206,4,Volta,1,2,HO,Ho Municipal
207,4,Volta,2,2,DAWANU,Ho Municipal
208,4,Volta,2,2,OLD DZOKPE,Ho Municipal
209,4,Volta,1,2,KPETOE,Ho Municipal
210,4,Volta,2,2,SHIA,Ho Municipal
211,4,Volta,2,2,TAVIEFE AVIEFE,Ho Municipal
212,4,Volta,2,2,SAWYERKODZI,South Dayi
213,4,Volta,2,2,ADOFE,South Dayi
214,4,Volta,1,2,PEKI AVETILE,South Dayi
215,4,Volta,2,2,DUGA-KPALIME,South Dayi
216,4,Volta,1,2,HOHOE,Hohoe
217,4,Volta,2,2,AKPADAHO,Hohoe
218,4,Volta,2,2,AKPATANU,Hohoe
219,4,Volta,2,2,ALAVANYO DZOGBEDZE,Hohoe
220,4,Volta,2,2,LIKPE TODOME,Hohoe
221,4,Volta,2,2,ATWEREBOANDA (AGOMEYO),Jasikan
222,4,Volta,1,2,KWAMEKROM,Jasikan
223,4,Volta,2,2,NKONYA AHENKRO,Jasikan
224,4,Volta,2,2,BOWIRI AMANFORO,Jasikan
225,4,Volta,2,3,APEPESU I VILLAGE,
226,4,Volta,2,3,MAMFI KOPE,Nkwanta
227,4,Volta,2,3,PAPA YE AKURA,Nkwanta
228,4,Volta,1,3,KPASSA,Nkwanta
229,4,Volta,2,3,TINJASE,Nkwanta
230,4,Volta,2,3,KREKUASE-YABIN,Krachi West
231,4,Volta,2,3,TWERESO,Krachi West
232,4,Volta,2,3,OLD DENTIMANSO,Krachi West
233,4,Volta,1,3,KETE KRACHI,Krachi West
234,4,Volta,2,3,ASUKAWKAW,Krachi West
235,5,Eastern,2,2,NKANSA NO. 1,Birim North
236,5,Eastern,2,2,GAMBIA,Birim North
237,5,Eastern,2,2,ABENASE,Birim North
238,5,Eastern,2,2,MAMANSO,Birim North
239,5,Eastern,1,2,AKIM-ODA,Birim South
